,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
78,Ups and Downs - Original Version 1978,YMCA,Village People,01-01-78,384960,20,0.714,0.0558,0.714,0.949,0,0.715,-4.491,0.114,123.286,4
79,I'm a Cruiser - Original Version 1978,YMCA,Village People,01-01-78,421253,23,0.715,0.0444,0.715,0.955,3.80E-05,0.152,-3.71,0.121,126.199,4
80,Billie Jean,Thriller 25 Super Deluxe Edition,Michael Jackson,30-11-82,293826,84,0.92,0.0236,0.92,0.654,0.0158,0.0359,-3.051,0.0401,117.046,4
81,Beat It,Thriller 25 Super Deluxe Edition,Michael Jackson,30-11-82,258040,79,0.779,0.0491,0.779,0.867,7.98E-06,0.197,-3.704,0.0457,138.858,4
82,Smooth Criminal - 2012 Remaster,Bad 25th Anniversary,Michael Jackson,31-08-87,257760,76,0.853,0.247,0.853,0.981,0.468,0.306,-3.947,0.0751,118.193,4
83,Don't Stop 'Til You Get Enough,Off the Wall,Michael Jackson,10-08-79,365466,75,0.878,0.126,0.878,0.821,0.0461,0.183,-9.875,0.089,118.881,4
84,Rock with You - Single Version,Off the Wall,Michael Jackson,10-08-79,220626,74,0.808,0.179,0.808,0.535,9.91E-05,0.158,-12.521,0.0353,114.031,4
85,The Way You Make Me Feel - 2012 Remaster,Bad 25th Anniversary,Michael Jackson,31-08-87,298120,73,0.877,0.0544,0.877,0.854,5.50E-05,0.144,-4.523,0.147,114.472,4
86,Bad - 2012 Remaster,Bad 25th Anniversary,Michael Jackson,31-08-87,247360,72,0.787,0.00462,0.787,0.889,0.423,0.0665,-3.786,0.0397,114.091,4
87,They Don't Care About Us,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",Michael Jackson,16-06-95,284160,71,0.859,0.205,0.859,0.905,0.00837,0.322,-5.539,0.129,89.946,4
88,P.Y.T. (Pretty Young Thing),Thriller 25 Super Deluxe Edition,Michael Jackson,30-11-82,238733,71,0.888,0.23,0.888,0.815,0.000424,0.127,-4.909,0.0404,127.273,4
89,Get on the Floor,Off the Wall,Michael Jackson,10-08-79,277640,52,0.809,0.0629,0.809,0.892,0.344,0.0334,-11.443,0.0437,124.435,4
90,The Boss,Black Caesar,James Brown,01-01-73,194866,64,0.736,0.579,0.736,0.354,0.0103,0.0757,-14.709,0.0475,97.924,4
91,People Get Up And Drive Your Funky Soul - Remix,Motherlode,James Brown,01-01-03,544640,61,0.8,0.23,0.8,0.802,0.00379,0.0971,-5.439,0.166,97.586,4
92,Get Up Offa That Thing,The 50th Anniversary Collection,James Brown,01-01-03,239733,60,0.864,0.217,0.864,0.813,0,0.874,-6.909,0.361,118.006,4
93,"Get Up I Feel Like Being Like A Sex Machine, Pts. 1 & 2",70's Funk Classics,James Brown,16-04-95,318800,59,0.833,0.273,0.833,0.661,0.000149,0.294,-7.595,0.101,108.314,4
94,The Payback,The Payback,James Brown,01-01-73,459893,59,0.868,0.159,0.868,0.644,0.00018,0.901,-10.987,0.194,97.933,4
95,Papa's Got A Brand New Bag - Pt. 1,The 50th Anniversary Collection,James Brown,01-01-03,126040,57,0.777,0.592,0.777,0.816,0.0212,0.253,-5.198,0.102,129.563,4
96,Try Me,"Please, Please, Please",James Brown,01-01-96,153706,45,0.676,0.931,0.676,0.224,0,0.302,-15.193,0.0293,101.47,3
97,Get Up I Feel Like Being A Sex Machine - Pt. 1 / Single Version,The 50th Anniversary Collection,James Brown,01-01-03,170506,52,0.841,0.208,0.841,0.655,3.05E-06,0.291,-8.15,0.239,108.442,4
