,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
486,Skin Tight,Skin Tight,Ohio Players,01-04-74,474266,39,0.828,0.0399,0.828,0.611,0.0116,0.104,-12.749,0.0393,110.169,4
487,I Want To Be Free,Fire,Ohio Players,01-06-74,414360,38,0.501,0.286,0.501,0.485,0.000273,0.0649,-12.826,0.121,142.274,4
488,Who'd She Coo?,Live 1977,Ohio Players,19-11-13,430266,35,0.645,0.0873,0.645,0.848,0.0258,0.391,-5.302,0.179,110.661,4
489,Here Today Gone Tomorrow,Backtracks,Ohio Players,1999,215720,35,0.492,0.38,0.492,0.455,1.37E-05,0.12,-10.165,0.1,91.633,4
490,Gonna Get Over You,Now!,France Joli,1982,251360,43,0.776,0.0192,0.776,0.601,0.00074,0.0366,-9.335,0.0658,109.976,4
491,Come to Me,Come to Me,France Joli,01-01-79,590986,40,0.716,0.00797,0.716,0.653,0.00204,0.0681,-8.827,0.0579,132.27,4
492,Come to Me - Radio Edit,Come to Me,France Joli,01-01-79,255373,30,0.55,0.0333,0.55,0.821,0.000109,0.234,-8.082,0.137,132.689,4
493,"Gonna Get Over You - 12"" Mix",Now!,France Joli,1982,441800,29,0.805,0.00422,0.805,0.526,0.00755,0.044,-10.426,0.083,110.625,4
494,Don't Stop Dancing,Come to Me,France Joli,01-01-79,468893,19,0.783,0.00479,0.783,0.73,0.183,0.0301,-10.641,0.0557,131.921,4
495,The Heart to Break the Heart - Remix,Tonight,France Joli,01-01-80,567826,16,0.677,0.142,0.677,0.623,8.58E-05,0.155,-11.325,0.0416,128.194,4
496,Dont Let Go,France Joli: Greatest Hits,France Joli,01-01-94,568106,17,0.759,0.109,0.759,0.757,0.0141,0.192,-10.387,0.074,131.975,4
497,Come to Me - Classy Disco Remix,Come to Me,France Joli,01-01-79,433573,15,0.649,0.00173,0.649,0.645,0.0516,0.147,-9.932,0.0325,132.004,4
498,Your Good Loving,Now!,France Joli,1982,343506,15,0.791,0.00591,0.791,0.772,0.0122,0.294,-10.664,0.0833,112.075,4
499,Tough Luck,Tonight,France Joli,01-01-80,321960,1,0.518,0.011,0.518,0.511,1.04E-05,0.0514,-11.565,0.0359,122.717,4
